87668,1444295
51762,885258
51759,884598
51752,883613
52296,885120
51771,885516
51772,885372
8607,98738
87649,1471259
51773,885126
51774,885597
51775,883843
112431,1890737
87649,1471307
107825,1890737
87649,1471196
56618,952215
56623,952155
56624,951858
93446,1620011
43476,683219
93447,1620029
112428,1890737
5874,62026
107826,1890737
93469,1614070
107852,1890737
56747,954025
51790,884895
56747,954029
56643,954654
57314,955432
93481,1614070
82253,1349052
117701,2170924
107822,1890737
82208,1349052
93494,1616139
56688,954669
82206,1349055
107824,1890818
56689,955163
56689,954111
117701,2170968
82206,1349052
125453,2258213
56772,971948
56789,929140
117701,2170923
82209,1349052
56797,938520
64865,1049063
82211,1349119
56852,938323
25200,319912
82210,1349394
87945,1444295
34659,503420
117701,2170917
51796,884895
51803,884391
34659,448875
64866,1049063
93522,1616139
51799,884154
52356,884154
87944,1444295
93521,1616139
51802,885399
93499,1616139
93561,1617185
93561,1617411
93561,1617333
117750,2170753
93537,1617214
93537,1617409
66313,1049063
125453,2258097
93580,1617080
25200,319913
64870,1049063
5874,59704
25205,1680185
25206,1680185
25210,326215
25210,326333
74074,1248146
43504,683219
64868,1049063
117701,2170916
74074,1247689
109008,2017848
107836,2017848
5874,62584
66312,1049063
107837,1890862
43488,683219
43503,683211
107842,1890737
51808,881223
51809,880749
5874,63121
64876,1049063
43484,683210
43486,731871
125453,2258083
52354,881034
5874,63737
93542,1617080
93545,1617080
43486,683226
5874,61461
51811,881034
5874,63693
93552,1617080
93579,1617080
93549,1617421
93561,1617192
93561,1617048
93561,1617338
93561,1616978
93561,1617476
25247,1680185
25252,334462
25253,334348
117701,2171063
51922,882602
93550,1617371
51961,882570
93553,1617109
93556,1617080
93554,1617080
117701,2170829
93555,1617080
117711,2171054
117711,2170912
87823,1484639
646,49415
646,49995
87886,1485898
125453,2257781
117711,2171055
117711,2170823
117706,2171054
646,49798
74078,1248115
87889,1485898
74949,1248115
93559,1616930
87890,1485898
74089,1248305
117711,2170864
74074,1247864
117744,2171056
25253,334437
87883,1485898
25253,334453
74074,1248147
25253,334360
117712,2170784
74075,1247773
87884,1485898
74076,1248134
25253,334456
74076,1248219
25256,334417
87893,1485906
25256,334615
88038,1449084
88038,1449213
88040,1448785
88042,1448251
117709,2171056
88042,1449161
118062,2163286
25256,334334
25256,334622
88042,1448681
88042,1448841
88042,1448988
25429,334604
25429,334309
25429,334045
25429,334586
25431,334045
25430,334045
43486,683212
117712,2170913
25291,334365
88042,1448664
88043,1448942
88043,1448798
117712,2170828
34014,500099
56899,934016
125453,2258443
117712,2171009
25291,334172
74076,1248136
117712,2170914
5875,61168
93559,1617217
117712,2171057
74076,1247980
74076,1247973
74077,1247801
125453,2258188
34073,503375
5875,61176
34074,503224
5875,64037
34087,478309
34672,478355
34087,478328
117712,2171010
5875,62340
64877,1049063
117712,2170751
5875,61177
125453,2257806
64881,1049063
5875,62879
56900,933328
93562,1617080
93584,1615673
64878,1049063
88043,1448205
88043,1448061
119954,2186169
88043,1448639
88044,1448708
119731,2177481
88061,1464370
5875,63455
88057,1464591
88058,1464435
88058,1464019
88058,1464223
88058,1464436
88060,1464324
88060,1464109
88063,1464097
93609,1619440
119737,2181290
93662,1619459
125453,2258109
93662,1619216
88064,1464757
119737,2181276
119737,2180898
43517,683212
93672,1619567
64879,1049063
125453,2258426
5875,62923
