82110,1349099
77524,1317094
77537,1316571
40030,530074
10582,135251
10582,137104
117086,2145184
10582,137134
82096,1349128
117046,2128014
96826,1630427
96826,1628408
82096,1349431
93561,1617048
117238,2145303
10582,136805
71181,1175421
82141,1349127
43224,567833
71493,1080539
122637,2206854
44878,653215
44878,653092
44878,653136
122637,2206504
122637,2207831
122637,2207509
40584,565529
122637,2206856
62585,1007187
62585,1006806
62585,1006814
62585,1006428
62585,1006810
71848,1085210
62585,1007190
71848,1085211
122637,2207825
71848,1086185
62585,1006809
71848,1086474
62585,1006422
122637,2206149
122637,2206155
122637,2206855
122637,2206510
76262,1289634
121868,2231757
121868,2233551
121868,2232493
94017,1619771
121868,2233209
121868,2232923
121868,2231761
40596,566623
40596,566624
40596,566625
40596,566626
121868,2233014
115851,2120538
115966,2121835
62665,1016228
62666,1016120
76263,1289115
76263,1289060
76263,1289773
76262,1289515
76262,1289514
76262,1288907
76276,1290582
71971,1134074
76270,1290538
76270,1289127
76270,1289406
82246,1349142
82247,1349484
94324,1614241
40707,614909
40732,556184
40732,558960
122112,2198980
40734,556056
45026,666553
45026,666552
45658,755023
45658,755560
124793,2199085
94422,1614756
94422,1614983
94422,1615253
94422,1614755
102118,1709150
102118,1709151
109636,1825301
109636,1825590
82631,1352960
45455,734602
115759,2137151
115759,2137081
115760,2137083
115760,2137719
115760,2135740
115760,2136435
115760,2136783
76362,1281955
115760,2137721
115760,2137720
45117,817255
45117,817772
45117,817254
45117,817253
45117,817771
45117,819294
45117,816782
45117,819293
45117,818773
45117,817769
45117,819292
76392,1285599
122123,2199894
122123,2197739
2829,3567
94788,1617288
45217,790713
45217,790712
95009,1622197
95018,1622738
115760,2138032
115760,2136069
115760,2138031
115760,2136073
45236,733066
115760,2136380
115760,2136072
115760,2137727
115760,2138035
95029,1622543
115760,2137728
99403,1621686
13278,165061
98750,1622572
45329,726990
45329,728384
45329,729111
45329,729112
45329,727750
82513,1352643
41404,625430
115760,2137722
45329,729809
45329,729810
45329,726337
45329,726336
45329,728385
45329,730530
76866,1288377
41518,571782
45329,730532
45329,730533
45329,729115
45329,730531
58221,928578
116114,2121067
45509,727492
116114,2120887
97453,1643187
45331,730902
109769,1746520
13528,156207
97453,1642890
13559,157216
13559,156224
13438,156220
13438,156491
13530,156224
45333,679230
58227,928537
116115,2121067
116115,2120887
76411,1288100
52844,900983
13526,156946
13526,156649
97515,1647394
72836,1234740
97515,1648656
72836,1234652
97529,1648156
58220,928267
58220,928405
76442,1287996
63657,1031329
58227,928285
58227,928346
